time,heart_rate
0,68
1.000000234,68
3.000000073,69
4.000000306,70
6.000000145,71
7.000000379,72
8,73
9.000000218,72
10.00000045,69
11.00000006,68
13.00000052,69
14.00000013,70
15.00000036,71
16.0000006,72
19.00000004,73
20.00000027,78
21.00000051,79
22.00000011,83
23.00000035,85
24.00000058,87
25.00000019,90
26.00000042,90
28.00000026,91
29.00000049,89
30.0000001,84
31.00000033,85
32.00000057,84
35.00000001,83
36.00000024,82
37.00000048,81
38.00000008,79
39.00000032,78
40.00000055,71
41.00000015,67
42.00000039,65
44.00000023,64
47.0000003,63
50.00000037,68
51.00000061,75
52.00000021,81
53.00000045,85
54.00000005,87
56.00000052,86
59.00000059,87
60.0000002,86
61.00000043,87
62.00000003,88
63.00000027,89
64.0000005,92
65.00000011,93
66.00000034,94
68.00000018,93
71.00000025,94
72.00000049,93
73.00000009,94
81.00000008,93
83.00000054,90
84.00000015,88
85.00000038,87
87.00000022,86
88.00000045,85
92.00000013,92
93.00000037,93
94.0000006,94
95.0000002,92
96.00000044,93
101.0000004,92
102.0000006,91
103.0000002,90
104.0000004,88
105,87
106.0000003,86
108.0000001,87
109.0000003,88
111.0000002,89
115.0000005,90
116.0000001,91
118.0000006,90
122.0000002,89
123.0000005,90
125.0000003,91
131.0000004,90
134.0000005,88
135.0000001,86
137.0000006,87
138.0000002,88
142.0000005,89
143.0000001,90
144.0000003,91
146.0000002,92
148,93
151.0000001,92
152.0000003,93
156,92
157.0000002,93
158.0000005,93
159.0000001,94
162.0000002,95
163.0000004,96
165.0000002,97
169.0000005,98
170.0000001,97
178.0000001,98
179.0000004,99
181.0000002,100
182.0000004,99
186.0000001,100
189.0000002,101
192.0000002,100
193.0000005,101
196.0000006,102
197.0000002,102
198.0000004,103
203.0000003,101
206.0000004,102
207.0000006,101
209.0000005,102
214.0000004,101
215.0000006,102
219.0000003,103
221.0000001,102
222.0000003,103
224.0000002,104
225.0000004,109
226,113
227.0000003,114
228.0000005,115
239.0000005,114
242.0000006,115
243.0000002,116
244.0000005,117
249.0000004,116
251.0000002,117
256.0000001,118
258.0000006,119
268.0000004,118
272.0000001,119
273.0000003,121
274.0000006,125
275.0000002,126
276.0000004,127
277,133
278.0000002,135
279.0000005,136
280.0000001,135
281.0000003,134
282.0000005,133
285.0000006,132
286.0000002,131
290.0000005,132
292.0000004,133
